Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,MeterMall 3pcs Yoga Resistance Band Elastic Breathable Anti-slip Pilates Stretching Pulling Band For Sports Fitness,1460,999,32,MeterMall,0,72,100,66,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Gym Exercise Yoga Mat 6mm,596,511,14,Uni Synthetic Accessories,6,88,0,0,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Foam Roller for Muscle Massage and Myofascial Trigger Point Release,1450,650,55,Dubai Shop 1604472287,0,83,0,93,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Deep Tissue Massage Roller 1 Set Yoga Foam Roller Multicolor Shaping Massage for Back Body Legs Muscle Deep Tissue Recovery Sports Accessories Yoga Foam Roller Set,1500,822,45,Grebest,2,87,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,New Environmentally Friendly Yoga Mat -Foam And Rubber (2 Feet) - Embrace Eco-Friendly Wellness With The New Yoga Mat Made From Foam And Rubber,913,650,29,Sports Inside,20,84,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Chin Up Ring Pack of Two pieces Ring For Exercises Hanging ring Ring For chin up,350,241,31,Bagdadi Sports BD,72,90,0,86,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,8mm Super Thick Non-slip Foam Yoga Mat 68x24 inch Fitness Pilates Yoga Mats-(Random Color),1250,749,40,New Collection,68,85,0,98,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Premium Yoga Blocks Lightweight Non-slip Eva Foam Blocks Yoga Accessories Training Exercise Fitness Tools,620,345,44,Huilopker,4,85,100,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat Rubber TPE 6mm - Multicolor,1150,836,27,Sports 360,3,85,0,100,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,6Mm Non-Slip Gym Yoga And Exercise Mat - Immerse Yourself In Fitness High-Quality - Multicolored Non-Slip Mat For Yoga And Exercise,1200,735,39,Bongo Express BD,4,90,0,66,Free Delivery,Cash on Delivery Available,No
