Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,OPPO A57 4GB/64GB Smartphone,18990,18989,0,OPPO,3,82,100,93,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,OPPO Reno 8T 4G (8/128GB) Smartphone,32990,31609,4,Alapon Computer,8,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Symphony Helio30 RAM 6 GB/ROM 128 GB Mobile Phone Smartphone,14999,14272,5,SYMPHONY,52,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 2 Pro - Smartphone Mobile 6.3 - 6GB RAM - 64GB ROM - 16MP + 16MP Camera - Android 8.1 - 3500 mAh battery,23500,19110,19,Daraz,23,89,100,0,Standard Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A52s 5G 8GB/128GB Smartphone,61999,61999,0,Samsung Mobile Bangladesh,12,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Imam i8 Lotus (RAM-3GB/ROM-32GB)3600mAH Smart Phone,3999,3899,3,Imam Telecom,0,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Imam i12 max (RAM-2GB/ROM-32GB)3700mAH Mobile Phone,4499,4399,2,Imam Telecom,4,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,"HONOR X8a (8+128 GB), Triple Rear Camera (100+5+2 MP), 4500 mAh Battery, 1 yr warranty",25499,25161,1,HONOR,0,97,0,89,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Xiaomi Redmi Note 12 (8/128 GB) Unofficial,22999,21799,5,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,iphone 15 Pro Max 256GB/512GB/1TB (Canada - Non Active) Smartphone - Unofficial,289990,193990,33,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,"HONOR 90 Lite, (8 GB+256 GB), Triple Rear Camera (100+5+2 MP), 4500 mAh Battery, 1 yr warranty",31999,31365,2,HONOR,1,97,0,89,Free Delivery,Cash on Delivery Available,Yes
